Number,All,All_with_bonus,Recent_500,Recent_500_with_bonus,Recent_450,Recent_450_with_bonus,Recent_400,Recent_400_with_bonus,Recent_350,Recent_350_with_bonus,Recent_300,Recent_300_with_bonus,Recent_250,Recent_250_with_bonus,Recent_200,Recent_200_with_bonus,Recent_150,Recent_150_with_bonus,Recent_100,Recent_100_with_bonus,Recent_50,Recent_50_with_bonus
1,158,190,62,71,56,64,49,56,44,50,38,44,31,37,26,31,18,21,12,15,7,8
2,145,177,61,73,58,68,47,57,39,49,35,43,29,35,21,27,10,15,5,8,3,6
3,156,185,74,88,66,79,60,72,51,62,45,54,39,45,30,36,23,29,17,21,9,12
4,152,186,61,78,55,71,45,60,41,52,37,46,30,38,23,29,16,22,12,16,5,9
5,144,167,53,65,45,55,39,49,34,44,27,36,22,30,16,22,14,17,6,8,4,5
6,152,185,74,88,66,79,60,71,49,60,45,54,41,48,34,39,28,33,21,24,9,11
7,156,184,73,85,61,71,54,64,45,54,42,50,39,46,31,38,25,29,19,21,9,11
8,144,167,53,58,46,51,38,43,32,37,28,33,23,28,17,22,14,17,8,11,4,7
9,121,145,55,66,50,60,48,57,41,48,33,38,28,31,26,28,16,17,8,8,5,5
10,153,180,69,83,62,76,51,62,43,52,33,41,28,34,22,27,15,19,13,15,7,7
11,155,179,72,81,62,70,52,59,45,51,36,41,33,38,27,30,22,25,12,13,6,7
12,168,195,84,97,77,89,74,86,58,67,46,54,41,46,33,37,27,31,15,19,10,12
13,165,191,73,82,68,74,60,64,57,60,45,48,39,40,31,31,23,23,17,17,11,11
14,165,186,69,78,63,71,60,66,54,60,44,49,38,43,32,35,26,27,16,17,9,9
15,153,178,69,82,57,69,51,63,43,54,38,47,32,41,26,35,20,28,10,16,7,9
16,153,180,75,86,70,79,62,69,53,57,48,51,40,43,30,33,23,25,16,17,10,10
17,160,190,66,79,58,71,52,65,45,55,40,49,29,36,24,29,18,23,10,14,5,5
18,165,184,73,86,70,80,62,70,55,62,46,51,37,42,28,32,20,23,10,12,0,1
19,157,177,73,80,66,73,57,63,46,52,40,44,32,35,27,30,25,27,20,20,11,11
20,159,186,52,68,47,60,43,54,39,48,37,45,33,40,27,32,21,25,14,16,7,9
21,157,179,79,85,74,80,63,66,54,56,45,47,41,43,32,33,22,23,19,19,9,9
22,135,152,58,66,56,64,52,59,49,54,46,51,38,41,28,31,22,25,14,17,3,6
23,136,156,55,64,51,59,45,52,41,48,38,45,31,36,23,26,15,18,11,13,2,4
24,152,182,68,83,61,75,55,68,45,57,39,49,34,41,28,35,19,23,13,16,5,7
25,140,158,51,56,43,47,40,44,38,41,30,32,23,24,18,19,12,13,7,7,3,3
26,154,185,63,78,57,71,54,67,50,63,41,52,34,44,29,36,22,25,14,16,7,9
27,161,190,61,71,51,60,44,53,38,47,36,41,30,35,22,26,16,19,10,13,3,4
28,142,164,71,79,63,71,56,64,49,57,41,49,31,39,25,32,19,24,16,18,10,11
29,143,158,63,72,57,65,51,59,46,52,39,44,34,38,29,31,22,24,11,13,7,8
30,146,177,69,85,67,80,59,71,52,62,44,52,37,45,34,39,26,29,22,25,11,12
31,154,181,65,78,59,71,56,65,47,55,38,46,33,39,27,32,19,24,13,16,8,8
32,133,164,54,72,50,68,46,63,44,57,38,51,29,38,23,31,21,26,14,17,4,6
33,164,194,82,91,74,83,61,70,54,62,45,51,39,45,33,38,25,28,20,22,11,12
34,177,200,75,87,70,81,60,71,51,61,45,54,36,44,31,38,25,30,16,19,12,14
35,150,179,66,79,62,73,56,65,51,60,46,53,42,49,35,39,26,28,17,18,6,7
36,152,176,68,82,61,75,55,67,48,59,39,48,35,42,26,32,18,23,11,15,5,6
37,158,181,61,70,56,64,47,54,44,50,41,47,34,40,30,33,19,22,13,16,8,8
38,155,183,78,89,67,78,62,72,56,64,46,53,39,43,28,32,24,25,18,19,9,9
39,153,177,66,75,59,67,54,60,48,54,40,45,26,31,17,20,12,15,4,5,2,2
40,162,184,57,69,49,59,46,55,43,51,38,46,32,39,28,34,21,24,18,20,10,11
41,140,157,67,74,59,66,49,55,41,46,38,42,31,34,26,29,17,20,10,12,6,7
42,145,168,66,75,59,67,56,63,47,54,38,42,30,33,22,24,15,17,8,9,4,4
43,157,192,70,79,60,67,55,60,47,51,37,41,25,28,17,19,12,13,10,11,5,5
44,153,177,70,81,61,71,51,59,48,55,44,51,36,43,27,34,20,26,13,17,7,7
45,164,182,76,86,71,78,63,68,55,60,45,50,36,40,31,34,27,30,17,19,5,6
