Column,Range_Description,Start_Round,End_Round
Recent_1,최근 1회,1148,1148
Recent_1_with_bonus,최근 1회,1148,1148
Recent_50,최근 50회,1148,1099
Recent_50_with_bonus,최근 50회,1148,1099
Recent_100,최근 100회,1148,1049
Recent_100_with_bonus,최근 100회,1148,1049
Recent_150,최근 150회,1148,999
Recent_150_with_bonus,최근 150회,1148,999
Recent_200,최근 200회,1148,949
Recent_200_with_bonus,최근 200회,1148,949
Recent_250,최근 250회,1148,899
Recent_250_with_bonus,최근 250회,1148,899
Recent_300,최근 300회,1148,849
Recent_300_with_bonus,최근 300회,1148,849
Recent_350,최근 350회,1148,799
Recent_350_with_bonus,최근 350회,1148,799
Recent_400,최근 400회,1148,749
Recent_400_with_bonus,최근 400회,1148,749
Recent_450,최근 450회,1148,699
Recent_450_with_bonus,최근 450회,1148,699
Recent_500,최근 500회,1148,649
Recent_500_with_bonus,최근 500회,1148,649
Recent_550,최근 550회,1148,599
Recent_550_with_bonus,최근 550회,1148,599
Recent_600,최근 600회,1148,549
Recent_600_with_bonus,최근 600회,1148,549
Recent_650,최근 650회,1148,499
Recent_650_with_bonus,최근 650회,1148,499
Recent_700,최근 700회,1148,449
Recent_700_with_bonus,최근 700회,1148,449
Recent_750,최근 750회,1148,399
Recent_750_with_bonus,최근 750회,1148,399
Recent_800,최근 800회,1148,349
Recent_800_with_bonus,최근 800회,1148,349
Recent_850,최근 850회,1148,299
Recent_850_with_bonus,최근 850회,1148,299
Recent_900,최근 900회,1148,249
Recent_900_with_bonus,최근 900회,1148,249
Recent_950,최근 950회,1148,199
Recent_950_with_bonus,최근 950회,1148,199
Recent_1000,최근 1000회,1148,149
Recent_1000_with_bonus,최근 1000회,1148,149
Recent_1050,최근 1050회,1148,99
Recent_1050_with_bonus,최근 1050회,1148,99
Recent_1100,최근 1100회,1148,49
Recent_1100_with_bonus,최근 1100회,1148,49
All,전회차,1148,1
All_with_bonus,전회차,1148,1
