Column,Range_Description,Start_Round,End_Round
All,1~1144회차 (전회차),1144,1
All_with_bonus,1~1144회차 (전회차),1144,1
Recent_500,645~1144회차 (최근 500회),1144,645
Recent_500_with_bonus,645~1144회차 (최근 500회),1144,645
Recent_450,695~1144회차 (최근 450회),1144,695
Recent_450_with_bonus,695~1144회차 (최근 450회),1144,695
Recent_400,745~1144회차 (최근 400회),1144,745
Recent_400_with_bonus,745~1144회차 (최근 400회),1144,745
Recent_350,795~1144회차 (최근 350회),1144,795
Recent_350_with_bonus,795~1144회차 (최근 350회),1144,795
Recent_300,845~1144회차 (최근 300회),1144,845
Recent_300_with_bonus,845~1144회차 (최근 300회),1144,845
Recent_250,895~1144회차 (최근 250회),1144,895
Recent_250_with_bonus,895~1144회차 (최근 250회),1144,895
Recent_200,945~1144회차 (최근 200회),1144,945
Recent_200_with_bonus,945~1144회차 (최근 200회),1144,945
Recent_150,995~1144회차 (최근 150회),1144,995
Recent_150_with_bonus,995~1144회차 (최근 150회),1144,995
Recent_100,1045~1144회차 (최근 100회),1144,1045
Recent_100_with_bonus,1045~1144회차 (최근 100회),1144,1045
Recent_50,1095~1144회차 (최근 50회),1144,1095
Recent_50_with_bonus,1095~1144회차 (최근 50회),1144,1095
