상호명,소재지,1등 횟수,1등 당첨 회차,2등 횟수,2등 당첨 회차,LATITUDE,LONGITUDE
스파,서울 노원구 동일로 1493 주공10단지종합상가111,45,[269  286  306  386  392  394  423  443  507  516  546  575  576  598  606  606  624  635  647  655  655  663  668  674  685  723  734  745  773  786  826  835  837  871  876  943  979  979  996  1005  1013  1041  1075  1111  1121],215,[296  301  304  309  311  314  328  341  344  367  374  381  397  405  408  411  415  420  425  425  426  431  436  445  446  457  458  464  465  467  468  469  474  476  482  483  496  506  507  515  535  544  550  552  552  560  561  564  567  571  575  579  579  588  591  591  594  603  605  605  607  609  613  615  616  620  620  622  626  628  637  638  648  650  651  653  653  654  656  659  662  662  664  666  669  669  672  679  685  691  691  698  707  707  708  718  720  725  727  729  731  738  744  744  747  752  752  755  756  762  766  767  767  769  776  777  778  781  782  784  784  786  791  800  801  803  805  809  812  823  825  825  844  850  852  856  859  860  862  865  872  880  880  882  890  898  900  902  905  906  908  911  912  917  922  924  925  931  936  937  937  946  947  954  960  961  963  966  973  974  976  980  983  983  983  985  990  1000  1000  1001  1005  1014  1015  1026  1026  1030  1030  1033  1033  1041  1051  1054  1057  1057  1057  1058  1059  1066  1079  1081  1085  1087  1092  1107  1108  1117  1119  1120  1120  1124  1126  1129  1131  1138  1143],37.661658,127.057872
부일카서비스,부산 동구 자성로133번길 35,45,[300  309  315  341  385  399  434  439  516  519  523  535  546  546  546  546  546  546  546  546  546  546  595  598  601  655  687  703  706  709  730  744  746  836  932  952  981  985  1005  1013  1060  1107  1110  1139  1142],209,[276  291  302  302  326  326  340  368  368  381  394  399  405  413  414  422  424  424  426  437  441  451  460  469  488  496  500  500  507  512  515  521  536  547  565  566  566  568  572  578  586  596  596  601  608  616  616  632  638  642  644  644  655  655  658  660  672  675  679  691  695  697  699  700  703  703  712  714  714  718  721  721  721  722  730  732  735  741  751  760  766  771  780  780  781  789  790  807  818  824  829  832  836  837  837  838  839  840  844  847  850  854  861  861  866  869  869  871  875  876  881  883  883  883  884  884  884  884  884  885  885  886  889  889  895  903  905  906  909  912  919  931  931  931  938  955  956  956  956  956  973  974  977  985  991  997  998  999  1001  1002  1006  1007  1007  1011  1012  1013  1014  1016  1016  1020  1022  1023  1023  1026  1026  1036  1038  1039  1045  1047  1051  1052  1053  1057  1057  1057  1057  1057  1060  1067  1072  1072  1072  1083  1086  1099  1100  1101  1101  1101  1104  1106  1107  1108  1110  1110  1110  1110  1110  1113  1121  1122  1124  1124  1125  1127  1129  1139  1143],35.139999,129.063048
일등복권편의점,대구 달서구 대명천로 220 1층,28,[415  475  497  531  604  618  635  709  733  791  791  805  806  807  815  821  831  832  864  874  877  878  891  938  977  986  1068  1093],135,[362  417  424  426  434  438  460  480  505  516  536  543  561  571  594  596  604  605  621  633  633  635  659  680  695  697  701  704  721  735  748  749  751  753  754  756  769  803  813  822  826  830  832  833  840  846  849  852  855  861  862  862  864  880  883  883  884  884  888  890  893  906  907  908  910  913  914  914  919  923  923  924  925  926  932  937  940  943  945  946  950  953  959  960  967  971  972  972  980  989  991  1000  1002  1003  1013  1015  1016  1017  1019  1021  1021  1022  1025  1027  1028  1037  1044  1046  1050  1052  1055  1057  1059  1065  1069  1077  1077  1079  1084  1088  1088  1096  1096  1101  1112  1115  1115  1120  1123  1130  1131  1133  1140  1141  1142],35.842139,128.536205
로또명당인주점,충남 아산시 서해로 519-2,27,[334  424  562  587  605  633  740  745  749  806  845  922  924  978  986  998  1007  1021  1044  1047  1056  1064  1065  1067  1073  1081  1102],119,[369  376  417  433  433  438  454  478  516  525  526  528  529  545  556  563  572  592  599  602  641  642  644  648  651  657  666  676  678  683  702  708  714  720  724  727  729  730  744  751  751  753  759  760  772  779  789  793  795  799  800  840  845  848  855  857  858  861  874  881  891  892  893  902  910  912  916  919  938  939  939  940  957  961  966  968  978  990  990  994  998  1003  1009  1018  1021  1023  1032  1037  1045  1045  1048  1048  1049  1055  1057  1058  1060  1060  1060  1070  1072  1076  1080  1088  1091  1091  1092  1104  1107  1116  1117  1117  1119  1119  1121  1123  1125  1125  1141],36.8776216,126.8970785
로또휴게실,경기 용인시 기흥구 용구대로 1885,25,[356  362  368  411  423  563  685  686  695  802  802  802  830  839  892  941  947  957  958  973  998  1048  1085  1106  1128],109,[369  406  410  419  427  428  430  436  439  449  452  476  502  514  518  520  547  553  562  564  571  584  589  595  617  621  629  642  644  672  684  684  710  718  724  725  728  735  742  768  768  804  806  814  820  831  832  841  861  866  867  870  873  882  891  892  894  901  909  925  935  959  962  963  966  966  968  968  976  978  979  982  986  998  1002  1013  1015  1015  1015  1015  1015  1021  1043  1044  1047  1053  1054  1055  1055  1063  1070  1084  1088  1095  1103  1105  1107  1108  1110  1110  1115  1117  1121  1121  1124  1126  1127  1135  1136],37.2563965,127.1043417
세진전자통신,대구 서구 서대구로 156,21,[393  421  523  696  742  755  757  760  768  802  817  833  850  864  873  880  957  987  1070  1093  1112],91,[279  287  303  318  437  445  458  466  483  493  495  509  511  514  516  521  533  542  555  579  586  643  646  672  680  688  694  704  705  709  715  719  732  751  752  774  780  792  802  805  808  810  816  820  822  835  835  837  848  864  873  879  881  882  884  888  892  902  905  926  928  932  946  956  967  968  976  980  1000  1005  1006  1007  1016  1017  1025  1035  1051  1055  1057  1062  1066  1076  1076  1084  1094  1098  1101  1121  1122  1135  1141],35.8718833,128.5551983
뉴빅마트,부산 기장군 정관중앙로 48 106호,20,[498  544  544  674  763  766  782  794  912  913  918  926  981  997  1007  1040  1054  1060  1083  1088],70,[500  539  585  595  657  688  730  745  745  751  762  771  785  793  811  834  854  856  859  862  872  876  876  891  891  891  894  903  913  925  932  934  937  943  944  956  966  979  991  1001  1001  1001  1001  1001  1005  1005  1006  1014  1063  1063  1065  1077  1078  1079  1079  1079  1080  1081  1091  1092  1093  1099  1099  1104  1107  1132  1133  1134  1136  1142],35.321112,129.179287
목화휴게소,경남 사천시 사천대로 912,19,[332  335  447  448  488  651  671  684  798  818  841  870  904  938  974  990  1021  1037  1128],110,[341  361  367  370  372  376  398  402  424  439  446  463  485  496  498  498  516  518  519  535  538  571  576  593  593  594  600  609  609  610  615  619  621  657  678  684  687  694  731  740  760  764  766  771  778  783  788  794  799  800  800  807  811  818  829  832  861  894  898  902  912  915  915  922  929  930  940  944  946  948  953  956  964  966  968  969  970  977  978  982  987  992  994  1002  1005  1009  1027  1029  1033  1035  1041  1043  1053  1054  1062  1063  1070  1074  1078  1080  1083  1089  1095  1110  1118  1126  1133  1134  1135  1137],35.0017957,128.0541367
잠실매점,서울 송파구 올림픽로 269 잠실역 8번출구 앞 가판,19,[304  464  642  660  747  799  825  834  844  859  897  937  972  973  1019  1039  1054  1087  1106],90,[333  344  381  439  458  488  500  543  576  619  662  663  665  667  680  681  683  701  724  727  727  727  750  760  786  786  790  802  818  835  836  837  842  850  851  853  856  865  866  870  871  874  878  884  885  890  891  892  903  904  921  924  960  966  969  980  993  996  997  999  999  1001  1020  1023  1023  1026  1029  1043  1044  1046  1057  1057  1057  1061  1062  1073  1078  1087  1098  1098  1104  1108  1115  1119  1121  1126  1129  1132  1135  1141],37.514446,127.100711
제이복권방,서울 종로구 종로 225-1 평창빌딩 1층 103호,15,[351  356  436  496  507  529  640  713  831  835  976  1020  1057  1094  1143],115,[287  347  349  350  351  351  351  351  351  351  356  356  356  356  356  356  363  376  394  436  464  466  495  499  500  501  502  503  507  519  530  534  537  545  556  560  568  594  595  609  610  623  629  639  642  645  662  668  694  712  713  713  713  713  713  714  714  716  724  726  731  735  736  752  762  764  808  823  826  844  867  887  897  897  905  906  907  913  913  916  921  921  945  953  959  961  962  988  989  990  992  1000  1001  1002  1007  1010  1010  1011  1012  1017  1018  1024  1037  1044  1044  1060  1064  1089  1109  1113  1118  1121  1132  1134  1141],37.571291,127.002831
오천억복권방,광주 서구 상무대로 1087,14,[441  548  604  877  878  935  1015  1034  1102  1104  1104  1128  1128  1130],42,[296  330  389  452  550  572  580  610  652  674  697  707  726  788  801  804  842  845  874  910  923  971  985  1002  1020  1027  1027  1028  1067  1069  1091  1094  1096  1105  1108  1111  1115  1116  1134  1134  1135  1143],35.1529728,126.8807213
돈벼락맞는곳,부산 동구 조방로49번길 18-1,13,[467  545  634  779  844  855  971  1028  1049  1057  1057  1102  1136],73,[274  291  302  353  397  404  448  458  487  487  491  522  528  553  590  594  606  646  655  683  690  691  700  701  705  715  722  728  741  748  751  751  755  770  774  790  814  843  845  846  848  850  868  869  880  885  888  904  921  922  925  927  934  950  953  975  984  997  1004  1013  1026  1033  1037  1044  1053  1081  1082  1092  1104  1105  1112  1128  1134],35.1391521,129.0599301
오케이상사,서울 서초구 신반포로 176 센트럴시티내100호매점,13,[293  499  799  825  869  893  908  990  1020  1050  1067  1110  1136],60,[337  397  470  513  516  518  569  599  600  608  695  701  702  704  758  759  778  788  790  796  803  816  818  844  849  862  863  863  864  878  888  910  927  935  944  977  980  998  1014  1015  1017  1019  1019  1039  1045  1054  1071  1073  1077  1082  1089  1098  1098  1100  1105  1113  1131  1133  1134  1135],37.504354,127.003597
복권백화점,경기 파주시 평화로 70,13,[477  533  707  712  739  740  924  1022  1042  1050  1079  1080  1118],44,[287  292  323  326  333  379  408  564  565  565  628  652  660  674  676  728  794  805  806  815  852  877  878  887  918  924  935  952  976  978  987  1002  1020  1038  1049  1075  1091  1093  1100  1101  1110  1135  1142  1143],37.7636092,126.7699254
알리바이(나주점),전남 나주시 나주로 142 알리바이,13,[320  415  720  724  748  855  885  900  950  1039  1039  1138  1139],39,[355  438  480  586  592  643  656  702  705  819  819  826  828  828  836  904  905  912  930  950  968  972  985  987  992  997  1000  1023  1027  1057  1059  1087  1103  1104  1121  1127  1133  1139  1140],35.031338,126.717194
버스판매소,서울 영등포구 영중로 2 1층(영등포동3가),13,[292  371  457  478  524  608  652  659  738  921  932  947  954],27,[361  468  486  509  527  545  575  579  620  621  647  660  664  688  688  709  713  758  778  782  795  806  825  853  872  958  966],37.5182625,126.9078988
영화유통(1등복권방),울산 남구 신정로 19 삼성아파트 상가 204-101,12,[343  485  487  522  541  705  797  1050  1054  1060  1065  1102],61,[342  381  401  436  448  479  524  530  534  549  555  556  561  568  573  588  594  647  656  663  707  710  712  713  719  747  751  768  770  774  847  862  868  874  892  895  907  928  974  993  993  1001  1015  1021  1042  1057  1057  1057  1057  1068  1074  1092  1093  1095  1104  1106  1112  1119  1120  1122  1138],35.533833,129.322055
행운복권방,경기 포천시 솔모루로 86-1,12,[290  328  523  527  540  634  663  694  736  924  1006  1019],37,[267  290  475  500  543  555  570  603  619  634  673  676  678  706  723  725  727  740  741  744  762  789  838  856  863  864  866  871  895  920  932  952  1012  1025  1071  1094  1096],37.8288306,127.1475221
썬마트,충북 청주시 흥덕구 진재로23번길 25,12,[363  594  661  665  726  850  892  896  947  999  1055  1140],29,[459  676  735  753  778  802  809  900  922  927  932  948  953  958  962  972  978  996  996  997  1004  1010  1015  1021  1057  1085  1087  1113  1126],36.6326109,127.4281126
대박천하마트,인천 부평구 굴포로 48,11,[569  723  728  802  844  880  958  1057  1115  1122  1125],66,[445  546  625  636  689  726  757  779  786  786  787  800  808  822  828  830  831  841  870  893  893  900  905  907  923  929  932  946  994  996  996  1009  1015  1015  1015  1015  1025  1026  1028  1035  1041  1057  1057  1057  1057  1057  1057  1057  1059  1064  1071  1072  1075  1075  1094  1100  1104  1117  1124  1127  1130  1132  1133  1142  1142  1143],37.5115851,126.7263665
복권명당(서부점),대구 달서구 월배로 452,11,[319  319  415  432  682  779  827  893  941  952  1090],63,[294  321  329  357  359  369  394  425  436  454  463  490  501  511  549  572  572  591  623  638  640  641  652  656  719  739  757  766  771  785  786  791  796  801  808  821  824  857  876  879  884  900  922  927  935  947  950  958  959  970  981  1002  1005  1020  1025  1037  1039  1042  1050  1073  1090  1102  1127],35.8336208,128.5548528
알리바이,광주 광산구 수등로 253 1층 알리바이,11,[337  370  387  408  870  911  1039  1057  1073  1084  1096],55,[366  425  431  431  449  452  457  495  521  521  526  532  545  568  569  572  572  629  671  692  717  751  769  774  795  815  836  840  841  864  868  888  895  896  917  925  943  957  962  974  977  982  995  1015  1028  1068  1068  1097  1101  1103  1114  1115  1117  1141  1143],35.185387,126.836674
묵동식품,서울 중랑구 동일로 919,11,[333  339  392  434  508  731  742  868  946  1043  1095],38,[342  367  487  496  513  522  552  566  590  634  642  649  654  738  743  745  749  757  773  778  808  828  872  875  909  918  929  950  955  963  967  985  1023  1048  1068  1113  1121  1141],37.6124628,127.0770648
라이프마트,인천 중구 연안부두로53번길 36 5호,11,[424  604  622  624  669  772  864  868  876  1039  1050],35,[388  492  523  588  636  666  669  711  745  782  796  803  898  945  956  958  960  964  964  967  985  1012  1024  1054  1054  1055  1066  1066  1069  1077  1086  1109  1114  1122  1123],37.452357,126.604022
종합가판점,서울 동대문구 왕산로40길 6 건물 앞쪽 가판점 청량리역 5번출구 앞쪽,10,[334  512  541  589  646  705  870  1019  1071  1133],73,[331  372  385  395  465  561  569  577  596  598  609  611  642  652  668  698  706  706  706  720  722  741  743  757  758  779  788  792  794  796  805  808  809  816  822  831  845  850  853  855  860  870  872  872  887  892  896  897  914  915  919  922  927  937  939  945  959  972  991  995  997  1021  1027  1049  1050  1085  1085  1100  1102  1131  1132  1135  1143],37.579697,127.044971
올인(allin),경기 화성시 3.1만세로 1147,10,[327  480  516  558  568  595  646  678  938  1119],59,[294  298  306  358  417  427  432  465  493  516  520  545  554  559  574  582  584  600  606  624  639  648  654  655  667  669  695  714  739  750  756  782  796  800  806  806  808  814  823  838  858  862  938  939  949  959  975  1000  1009  1017  1031  1035  1049  1054  1083  1084  1087  1119  1120],37.1352981,126.9106304
천하명당복권방,경기 수원시 팔달구 매산로 2,10,[402  408  461  543  668  724  884  1072  1088  1107],59,[405  411  423  431  487  544  547  547  565  598  604  630  634  643  647  647  668  681  704  704  732  747  748  765  782  825  838  840  846  846  851  852  857  882  932  934  974  977  990  1002  1017  1027  1028  1032  1051  1057  1059  1063  1071  1076  1076  1084  1091  1094  1105  1108  1116  1120  1134],37.2671136,127.005113
북마산복권전문점,경남 창원시 마산합포구 북성로 98,10,[274  312  596  772  785  800  832  848  874  1105],44,[285  370  385  450  466  468  501  507  526  528  558  564  564  571  582  619  631  643  693  698  712  748  762  782  785  793  795  814  816  836  846  865  890  892  901  929  933  958  1002  1044  1074  1078  1092  1114],35.2159627,128.5707781
노다지복권방,경기 용인시 처인구 금령로 130,10,[468  508  531  555  613  755  938  972  1019  1121],43,[287  317  352  415  415  456  480  495  509  567  586  587  609  641  644  650  667  672  684  713  733  788  816  821  825  843  846  849  864  871  907  920  956  981  1003  1016  1062  1064  1072  1096  1103  1109  1114],37.2350983,127.2105258
노다지복권방,인천 미추홀구 한나루로 400 외7필지125호,10,[545  681  867  884  945  945  963  1018  1051  1058],28,[320  576  676  706  706  745  780  802  818  848  866  873  887  905  952  971  999  1017  1040  1043  1048  1068  1075  1077  1081  1118  1122  1143],37.443375,126.66496
현대장미슈퍼,전북 익산시 동서로61길 41 어양동 현대A 상가동 108호,10,[683  903  951  1029  1039  1077  1080  1101  1103  1108],26,[278  346  416  485  519  649  765  820  899  926  973  979  1000  1012  1053  1053  1059  1060  1060  1077  1085  1108  1114  1125  1136  1141],35.95509,126.98032
행운복권방 보생당건강원,전북 익산시 무왕로 1268,10,[303  332  478  662  716  897  951  970  1050  1086],22,[360  438  500  689  699  757  807  865  910  929  956  963  975  986  1044  1058  1094  1099  1104  1109  1117  1121],35.9603145,126.9972599
갈렙분식한식,서울 중랑구 용마산로115길 92,10,[387  419  687  827  827  827  827  827  836  1014],19,[431  432  654  703  785  803  836  861  936  968  997  1008  1015  1015  1061  1064  1071  1106  1120],37.5982389,127.0953091
월드24시,서울 은평구 통일로 855-15,9,[313  416  539  555  561  722  752  881  1098],53,[283  288  322  359  379  459  570  575  581  592  612  625  663  671  675  697  702  731  732  762  766  768  773  781  800  822  854  868  883  884  892  893  908  918  927  930  944  982  1024  1046  1055  1055  1069  1084  1085  1087  1088  1090  1092  1100  1107  1118  1129],37.6192218,126.9198046
복권전문점,인천 부평구 원적로 437,9,[401  455  613  644  699  777  855  1030  1113],44,[277  278  291  358  478  489  500  508  515  516  533  562  562  562  583  595  628  668  722  735  743  778  831  888  896  905  907  912  927  929  944  960  962  972  988  1020  1065  1101  1109  1129  1139  1139  1141  1141],37.5038431,126.7151309
영광정보통신,서울 성북구 화랑로 92 1층 우측1호,9,[279  396  488  494  553  636  845  875  1073],44,[311  335  337  386  394  406  423  430  430  467  471  473  474  517  533  625  642  643  669  693  705  719  729  749  754  781  788  792  793  796  808  825  825  832  835  872  878  916  945  1068  1080  1103  1107  1116],37.602677,127.042502
또또복권방,전북 익산시 고봉로32길 3,9,[374  381  413  708  769  858  872  906  956],39,[400  412  432  443  463  520  521  559  584  619  749  768  808  817  827  828  839  860  877  887  892  906  914  937  948  967  984  1022  1024  1035  1048  1051  1052  1057  1058  1072  1076  1140  1141],35.9598303,126.9716893
행복충전소,경기 평택시 탄현로 332-2,9,[532  565  636  684  697  719  768  869  1027],38,[283  321  356  424  541  549  586  586  590  595  623  623  702  727  732  800  813  832  882  959  972  987  991  991  1006  1030  1050  1050  1053  1055  1055  1061  1065  1091  1111  1129  1137  1141],37.0818171,127.0563993
