상호명,소재지,1등 당첨 회차,1등 횟수,2등 당첨 회차,2등 횟수,LATITUDE,LONGITUDE
보물섬복권판매점,서울 송파구 법원로8길 7 106호,1059 1112,2,,0,37.484186,127.121364
소비자할인마트,서울 관악구 조원로10길 37,1128,1,819 1095,2,37.48196,126.905106
행운식품,서울 관악구 신원로3길 21,1000,1,789 891,2,37.481879,126.927148
명당,서울 강서구 강서로18가길 4,760,1,718 764 768 868 948 957 1000 1000 1057 1057 1067 1146 1147 1147,14,37.534131,126.847049
공원수퍼,서울 강서구 가로공원로72길 3,,0,312 358 495 536 586 769 843 956 959 1035 1074 1112,12,37.536549,126.835018
복권,서울 관악구 낙성대역길 91 1층,393 581 813,3,296 360 434 448 909 1068,6,37.474446,126.963829
로또복권,서울 관악구 장군봉1길 29,1055,1,296 601 652 903 910 1049,6,37.481812,126.941674
행복만들기,서울 관악구 신사로10길 6,507,1,332 439 1008 1096 1100,5,37.487255,126.914345
대박로또,서울 관악구 난곡로 247,564,1,461 518 707 895 987 1018,6,37.476099,126.915733
은혜기획사로또,서울 광진구 영화사로 15,,0,343 448 780 972 994,5,37.557895,127.089301
청송상회,서울 광진구 광나루로40길 73,,0,351,1,37.541485,127.08892
동서울로또,서울 광진구 강변역로 50 동서울터미널 정문앞 로또가판점,440 440,2,302 329 522 633 702 715 779,7,37.533909,127.093561
Today,서울 광진구 광나루로56길 85 테크노마트9층판매동24호,373 610 659 1019,4,413 632 661 1023 1045,5,37.535691,127.09574
세븐몽키스커피,서울 광진구 면목로 37 1층2호,,0,311 489 587 916 1101,5,37.557402,127.076349
성동약국,서울 광진구 자양번영로 11,,0,935 955,2,37.530698,127.074674
신영상회,서울 동작구 장승배기로 143,,0,502 796 1036 1057 1111,5,37.510373,126.939901
한냉매점,서울 동작구 노들로 674 2층 10호,356,1,427 607,2,37.514609,126.936813
인동상회,서울 노원구 한글비석로 396 벽산아파트상가108-116,526 1068,2,588 663 680 838 846 864 960 972 981 1039 1044 1057 1061 1101,14,37.661463,127.072795
동아슈퍼,서울 노원구 노원로 522 9단지유치원104호,371 1068,2,368 543 632 879 908,5,37.661196,127.060977
우성슈퍼,서울 강동구 구천면로 371,893,1,564 983 1108 1123,4,37.550729,127.139707
삼익마트,서울 강동구 상암로 211 1층,272 673 997 1113,4,286 299 781 1000,4,37.546652,127.146137
롯데마트,서울 강동구 상일로 17,,0,419 421 477 621 698 887 970 981 987,9,37.548606,127.172934
동원마트,서울 강동구 풍성로 209,876 945,2,311 372 505 528 908 925 1055,7,37.529347,127.135098
그린슈퍼,서울 강동구 천중로52길 15,371,1,381 413 471 580 647 748 892,7,37.540073,127.144204
시흥식품,서울 금천구 시흥대로63길 13 1층,836,1,352 375 400 420 697 910 956 971 974 976,10,37.454874,126.898824
대성미니슈퍼,서울 관악구 남부순환로 1413,,0,902 968 1134,3,37.4808,126.90761
럭키슈퍼,서울 금천구 시흥대로 143 신라상가114호,,0,508 631 946 954,4,37.446862,126.903047
혜성슈퍼,서울 관악구 호암로24길 42,,0,402 406 563 704 872 923 926 1001 1021,9,37.469404,126.935433
유창슈퍼,서울 금천구 범안로17길 41 진도아파트상가101호,,0,315 351 376 376 376 376 376 581 1029 1073,10,37.468315,126.892727
대화식품,서울 금천구 가산로 58,933,1,280 332 670 700 792 829 940,7,37.471794,126.896701
강일코사할인마트,서울 강동구 고덕로97길 29 105호,545 789 857,3,521 568 580 891 929 1010 1143,7,37.559843,127.1788
왕대박,서울 강북구 오패산로30길 9 1층,,0,485 548 572 578 611 626,6,37.628118,127.022407
로또복권판매,서울 강북구 덕릉로41길 22 1층,,0,,0,37.636235,127.031008
오로라복권방,서울 광진구 뚝섬로 625 국민은행자양동지점 50m,825 855 1023,3,337 454 815 857 898,5,37.532304,127.079103
대박,서울 동대문구 천호대로 281,,0,704 986,2,37.567623,127.052287
로또마트,서울 동대문구 한천로2길 89 1층 4호,,0,654,1,37.562596,127.063492
준로또,서울 동대문구 한천로14길 39 1층&#40;장안동&#41;,,0,,0,37.567059,127.064922
대박로또,서울 성동구 용답19길 11,642 826 953,3,451 511 826,3,37.563279,127.052056
어머화장품,서울 송파구 가락로11길 19,745 944 1008,3,267 698 748 981 1010 1045 1066 1092,8,37.502046,127.104049
여명슈퍼마켓,서울 성북구 장위로15길 4,777,1,,0,37.614313,127.041474
행운마트,서울 성북구 종암로 174,,0,275 546 744 941 943 974 993 1003 1025,9,37.60536,127.03176
행운부동산&&#35;40;IGA&&#35;41;,서울 성북구 보국문로 167 산장아파트산장상가1층15호,,0,339 762 994 1013,4,37.616724,127.002187
데이앤나잇,서울 성북구 종암로 132 종암우림카이저팰리스 1층 101호,510 817 817 817 817 817 1063,7,345 466 522 609 624 827 901 1002 1009 1041 1045 1049 1051 1055 1086 1089 1122,17,37.601955,127.033463
일공일사&&#35;40;1014&&#35;41;,서울 성북구 성북로 31,,0,883 902 1111 1111,4,37.590705,127.00359
한양슈퍼복권,서울 성북구 지봉로24길 65,543 857,2,886 886 993 1042 1129,5,37.582338,127.020451
보원상회,서울 성북구 보문로 56,1111,1,461 543 570 761,4,37.580453,127.02225
크로바,서울 종로구 종로54길 42,721,1,715 776,2,37.570389,127.013964
세븐일레븐 강변테크노마트점,서울 광진구 광나루로56길 85 테크노마트지하판매동1층D004,,0,603 737 758 813 815 929 1047,7,37.535691,127.09574
현대식품,서울 광진구 아차산로 413,,0,433 885 901 1057 1057 1057,6,37.537933,127.088483
