Round,Num_1,Num_2,Num_3,Num_4,Num_5,Num_6,Num_Bonus,Cnt_Winners,Prize_Winner,Date,자동,수동,반자동,서울_자동,서울_수동,서울_반자동,경기_자동,경기_수동,경기_반자동,부산_자동,부산_수동,부산_반자동,대구_자동,대구_수동,대구_반자동,인천_자동,인천_수동,인천_반자동,울산_자동,울산_수동,울산_반자동,강원_자동,강원_수동,강원_반자동,충북_자동,충북_수동,충북_반자동,충남_자동,충남_수동,충남_반자동,광주_자동,광주_수동,광주_반자동,전북_자동,전북_수동,전북_반자동,전남_자동,전남_수동,전남_반자동,경북_자동,경북_수동,경북_반자동,경남_자동,경남_수동,경남_반자동,제주_자동,제주_수동,제주_반자동,세종_자동,세종_수동,세종_반자동,대전_자동,대전_수동,대전_반자동,동행_자동,동행_수동,동행_반자동,기타_자동,기타_수동,기타_반자동
1148,3,6,13,15,16,22,32,13,2073332308,2024-11-30,9,4,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,7,11,24,26,27,37,32,8,3323422079,2024-11-23,6,2,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,6,11,17,19,40,43,28,11,2526476353,2024-11-16,8,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,2,11,31,33,37,44,32,9,3051630084,2024-11-09,5,3,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1144,3,4,12,15,26,34,6,18,1489347375,2024-11-02,14,3,1,2,0,0,6,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,10,16,17,27,28,36,6,11,2545657023,2024-10-26,9,2,0,2,0,0,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1142,2,8,28,30,37,41,22,9,3117517709,2024-10-19,8,1,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1141,7,11,12,21,26,35,20,11,2457758285,2024-10-12,6,5,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1140,7,10,22,29,31,38,15,12,2279823938,2024-10-05,8,4,0,0,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139,5,12,15,30,37,40,18,13,2167490972,2024-09-28,10,2,1,2,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
